ShopName,Date,Prefecture,Phone,genres
Cafe Rob 刈谷店,2020-11-01,愛知県,, #カフェ #ハンバーガー #パンケーキ
UEHARA KITCHEN （ウエハラ キッチン）,2020-11-01,東京都,03-6804-9390, #カフェ #ビストロ #イノベーティブ・フュージョン
いちご新聞45th Anniversary CAFE,2020-11-01,東京都,03-6273-0255, #カフェ
定額制セルフエステ glitter / cafe glitter,2020-10-31,東京都,,None
ライブアイドルカフェ,2020-10-31,東京都,03-5928-4420, #その他
保護猫カフェ もどき,2020-10-31,岩手県,019-601-7775,None
氷川参道カフェ いやしろ,2020-10-31,埼玉県,048-715-0623, #カフェ
MASTARS CAFE KOKURA,2020-10-31,福岡県,093-551-1144,None
SALON 1830(サロン イチハチサンゼロ）,2020-10-25,東京都,0120-70-1830,None
さくら座,2020-10-24,東京都,, #カフェ
Restaurant Senka（レストラン センカ）,2020-10-23,兵庫県,078-241-0022, #バイキング
OTO Cafe,2020-10-23,長野県,026-219-2346, #カフェ #喫茶店
Black Smith,2020-10-22,鹿児島県,080-5209-4527, #カフェ #ピザ #パン
コミュニティーカフェ はぐくむ 湖畔,2020-10-20,東京都,070-6575-3679,None
NEAR by otonari (ニアーバイオトナリ),2020-10-20,福岡県,092-406-5847, #カフェ
tablier(タブリエ),2020-10-20,埼玉県,048-812-8225, #カフェ・喫茶（その他）
さくらかふゑ三春 KAMINUMAYA,2020-10-19,福島県,0247-61-4320, #カフェ
STORY STORY YOKOHAMA,2020-10-16,神奈川県,045-225-8391, #カフェ・喫茶（その他） #カフェ #イタリアン
Femy_ フェミー,2020-10-16,埼玉県,042-975-7771,None
CAFFE SICILIA （カフェ シチリア）,2020-10-16,東京都,03-3520-9761, #カフェ #サンドイッチ #バル・バール
カフェ ラ・ボエム 浜松町,2020-10-16,東京都,03-6402-3281, #イタリアン #パスタ #カフェ
カフェ Kanowa / Glacier Boulangerie Kyou,2020-10-15,群馬県,027-234-9147,None
うどんかふぇ 550,2020-10-15,山口県,090-8240-9720, #カフェ #うどん #カレーライス
WHAT CAFE（ワット カフェ）,2020-10-14,東京都,, #カフェ #カレーライス #カフェ・喫茶（その他）
諏訪山カフェ+,2020-10-14,兵庫県,, #カフェ
ひつじのショーン Farm Cafe Stand,2020-10-14,神奈川県,080-7644-6727, #スイーツ（その他） #カフェ
西口キッチン ひつじのはね,2020-10-13,福島県,024-572-7716, #カフェ #洋食
KoDoNa cafe,2020-10-13,北海道,011-500-2351, #カフェ #バー #チョコレート
&me,2020-10-13,長野県,0266-55-8862, #カフェ #バイキング #パスタ
Remo Cafe（リモカフェ）おおたかの森店,2020-10-12,千葉県,047-128-7939, #カフェ・喫茶（その他） #カフェ
Remo Cafe（リモカフェ）本八幡店,2020-10-12,千葉県,047-314-8765, #カフェ・喫茶（その他） #カフェ
SHINJUKU BOX cafe&space ルミネエスト新宿店,2020-10-11,東京都,03-6273-0688,None
Atelier Trois （アトリエトロワ）,2020-10-10,兵庫県,078-332-3303, #モダンフレンチ #レストラン（その他） #洋食・欧風料理（その他）
DRONE LOUNGE JUPITER ドローンラウンジジュピター,2020-10-10,神奈川県,042-707-9900,None
自然派カフェレスト 鈴ご,2020-10-10,大分県,0978-25-9832, #和食（その他） #自然食 #カフェ
Lily Warlock (リリー ウォーロック),2020-10-09,愛知県,, #カフェ・喫茶（その他） #カフェ
meal chiffon & sweets Damonde,2020-10-08,愛知県,052-211-9333, #カフェ #ケーキ #スイーツ（その他）
Herb kitchen（ハーブキッチン）,2020-10-07,大阪府,06-6732-9212, #カフェ
八百屋×カフェ 和合堂,2020-10-06,東京都,03-6435-3880, #カフェ #おにぎり #アイスクリーム
Café Argentina（カフェ アルヘンティーナ）,2020-10-06,東京都,, #カフェ
OATISANS CAFE（オーティザンカフェ）,2020-10-06,愛知県,052-778-8080,None
Maison-du-fromage ～チーズのお家～,2020-10-04,愛知県,, #イタリアン #洋食・欧風料理（その他）
そばカフェ,2020-10-03,北海道,090-8706-8659, #そば #カフェ・喫茶（その他）
LOUKUMA House,2020-10-02,愛知県,080-6968-0652, #カフェ #寿司
Cafe bar Licht,2020-10-02,大分県,0973-25-0010,None
!DEA CAFE （アイデアカフェ）,2020-10-02,東京都,03-6909-1742, #カフェ #スイーツ（その他） #カレーライス
THE KOME,2020-09-29,東京都,03-5980-7889, #スイーツ（その他）
Pies & Potera,2020-09-29,兵庫県,, #カフェ #紅茶専門店
THE MUROMACHI BAKERY,2020-09-29,京都府,075-746-3850, #カフェ #ビストロ #イタリアン
東京ディズニーランド 美女と野獣エリア,2020-09-27,千葉県,0570-00-8632, #カリフォルニア料理
ローズガーデンカフェ 道頓堀,2020-09-27,大阪府,06-6212-3030, #カフェ
LEO′N HEART(レオンハート),2020-09-25,長崎県,090-2963-6404, #スープカレー #ダイニングバー
loose kyoto ルース キョウト,2020-09-22,京都府,,None
Iittala Omotesando Store&Café,2020-09-21,東京都,, #カフェ #ケーキ #パン・サンドイッチ（その他）
SurFree Kobe,2020-09-21,兵庫県,078-797-4997, #カフェ
N´cafe,2020-09-20,大阪府,072-395-7138, #カフェ
Restaurant Solfège (レストラン ソルフェージュ)　,2020-09-19,東京都,03-5726-8320, #フレンチ #ビストロ #ワインバー
Chalk Trip Cafe（チョークトリップカフェ）,2020-09-19,神奈川県,046-259-6767, #カフェ・喫茶（その他） #カフェ
テラスバ本庄,2020-09-18,埼玉県,0495-37-3616,None
BEACH⇔PARK LIVING ビーチパークリビング,2020-09-18,神奈川県,080-7019-0229,None
DELTA / KYOTOGRAPHIE Permanent Space,2020-09-18,京都府,075-708-7108, #カフェ・喫茶（その他） #バー・お酒（その他）
スカイラウンジ カフェ・ペルラ,2020-09-18,北海道,0138-84-5432, #カフェ
ESPRESSO D WORKS 名古屋,2020-09-17,愛知県,050-5457-0690, #カフェ #イタリアン #パンケーキ
Ocean Cafe Honu,2020-09-16,秋田県,,None
ニュードライブインUFO,2020-09-16,熊本県,096-288-1275,None
1Place cafe,2020-09-16,愛知県,0587-22-7710, #カフェ #ケーキ #ダイニングバー
モンスーンカフェ ららぽーと愛知東郷,2020-09-14,愛知県,0561-56-1352, #タイ料理 #ベトナム料理 #アジア・エスニック料理（その他）
伊右衛門カフェ ららぽーと愛知東郷店,2020-09-13,愛知県,056156-8230,None
倉敷の猫犬屋敷 / KURASHIKIどうぶつの森,2020-09-13,岡山県,086-423-0552,None
niko cafe（ニコカフェ）,2020-09-13,福島県,024-983-0010,None
ELOISE’s Cafe（エロイーズカフェ）レイヤード久屋大通店,2020-09-12,愛知県,052-211-9292,None
PANCAKE&books bibliotheque,2020-09-10,大阪府,06-6359-1389,None
Today’s CBD by ONE-INCH,2020-09-10,東京都,,None
Deli & Cafe Blue Globe Tokyo,2020-09-10,東京都,03-6450-6777,None
マンゴツリーカフェ さいたま西大宮店,2020-09-10,埼玉県,048-783-2973,None
DEAN & DELUCA カフェ コレットマーレ みなとみらい,2020-09-09,神奈川県,045-323-9498,None
イルマティーノ,2020-09-09,兵庫県,0797-75-2500,None
ebiholic HARAJUKU,2020-09-09,東京都,03-6427-9205,None
異空間カフェ T bira,2020-09-09,岡山県,080-6324-0902,None
ヒーリング&カフェ ルアナ,2020-09-08,北海道,0153-74-9001,None
ビストロカフェ SANANCHÉ（サナンシェ）,2020-09-07,千葉県,,None
ELK Fitness and Table 呉服町店（エルクフィットネス&テーブル）,2020-09-06,静岡県,054-291-6844,None
Aquarium Cafe HIRAKU,2020-09-04,大阪府,06-6943-5991,None
自家焙煎コーヒー momo cafe（モモカフェ）　,2020-09-03,兵庫県,0791-25-5012,None
ココイロカフェ 岩出店 （Cocoiro Cafe）,2020-09-03,和歌山県,0736-69-1266,None
サンマルクカフェマルイファミリー志木店,2020-09-02,埼玉県,048-424-7309,None
masacari,2020-09-02,沖縄県,080-4178-9333,None
しーらかんすCafe 沼津港店,2020-09-01,静岡県,055-957-8611,None
LUVIT HAYAMA,2020-09-01,神奈川県,0468-74-9040,None
CULTI EARL CAFE （カルティアールカフェ）,2020-09-01,大阪府,06-6214-5780,None
CHOUCHOU café,2020-08-31,長崎県,0957-52-0462,None
C’est dur 府庁前,2020-08-31,京都府,090-1407-6969,None
PEANUTS Cafe 名古屋,2020-08-29,愛知県,052-211-9660,None
TOKYO BOX cafe&space 表参道ヒルズ店,2020-08-29,東京都,,None
紡 cafe（tsumugi cafe）,2020-08-29,京都府,075-352-6400,None
River Bridge 三宮センタープラザ店,2020-08-29,兵庫県,078-515-6075,None
ELOISE’s Cafe横浜ハンマーヘッド店,2020-08-27,神奈川県,045-225-8344,None
J Smile CAFE 所沢パークタウン駅前通り店,2020-08-27,埼玉県,042-946-7538,None
STAND by bookandbedtokyo,2020-08-26,東京都,03-6304-0585,None
青年チキン&カフェ,2020-08-25,東京都,,None
PANORA kitchen of the seasons,2020-08-25,宮城県,022-341-8618,None
trip cafe okinawa,2020-08-25,沖縄県,080-1707-1665,None
HORUTA (オルタ),2020-08-24,埼玉県,,None
Beringei cafe,2020-08-24,,058-214-2760,None
スマイルキッチン マコーズ Smile Kitchen Macous,2020-08-22,埼玉県,048-423-7913,None
ドトールコーヒーショップEneJet常盤平店,2020-08-20,千葉県,047-311-2602,None
Ali’s Friend Cafe & Restaurant,2020-08-20,茨城県,0298-93-5695,None
食べカフェ Pu-a-Pu,2020-08-19,大阪府,06-6180-8859,None
cafe mohala,2020-08-19,長崎県,,None
ETUDE MONZ CAFE,2020-08-18,東京都,080-7362-4636,None
 カフェラミル アルカキット錦糸町店,2020-08-18,東京都,03-6658-5560,None
caffe poatto （カフェ ポアット）,2020-08-18,東京都,,None
四知堂 kanazawa,2020-08-17,石川県,076-254-5505,None
ブック&カフェ HAMARU,2020-08-16,神奈川県,045-323-9003,None
野風、（NOKAZE）,2020-08-15,大阪府,,None
FARMERS GARDEN Cafe オムレット 大府allobu店,2020-08-13,愛知県,0562-48-3031,None
FARMERS GARDEN Cafe オムレット イオンモール名古屋茶屋店,2020-08-13,愛知県,052-301-9991,None
cafe sov,2020-08-13,東京都,042-528-2983,None
Pour.,2020-08-12,大阪府,06-6459-7775,None
さち福やCAFÉ コモレ四谷,2020-08-11,東京都,03-6380-6625,None
COFFEE AND BEER &9（アンド・ナイン）,2020-08-10,神奈川県,045-628-9316,None
アニメイトカフェグラッテ仙台,2020-08-09,宮城県,022-264-0437,None
器と暮らしの雑貨＋カフェバー mokumoku,2020-08-07,京都府,,None
カフェ ワイルドチキン,2020-08-07,神奈川県,,None
Cafe & Bar Lotta TSUTAYA BOOKSTORE 弥生台店,2020-08-07,神奈川県,045-392-3339,None
ギャラリーカフェ ドゥードゥル,2020-08-07,三重県,0598-68-9093,None
Style Kitchen,2020-08-07,愛知県,052-433-2582,None
Dongree Books&Story Cafe,2020-08-07,滋賀県,0748-69-5923,None
Park Community KIBACO,2020-08-06,東京都,03-5245-1770,None
141 OUJI TABLE,2020-08-06,東京都,03-5933-6955,None
Deli&Cafe TOKINIHA,2020-08-06,愛知県,090-9138-1928,None
TOKYO VIDEO GAMERS,2020-08-05,東京都,03-5577-5106,None
パンとエスプレッソと まちあわせ,2020-08-04,東京都,03-6805-0830,None
108 CAFE（トンヤカフェ）,2020-08-03,福井県,0776-76-8174,None
Dōngxī Restaurant ＆ Sakaba,2020-08-01,東京都,03-6712-5730,None
ザ・ロビーラウンジ,2020-08-01,長崎県,0957-22-8686,None
ROCKS café,2020-08-01,大阪府,06-6536-8619,None
京鴨＆有機野菜 SANTE,2020-08-01,京都府,075-371-7756,None
X-cafe （エックスカフェ）,2020-08-01,兵庫県,078-881-1893,None
Seasonal stand（シーズナルスタンド）,2020-08-01,香川県,0875-82-9920,None
Eni.Et. エニエト,2020-08-01,北海道,,None
カフェ&ペンションpollo lepo(ポッロレポ),2020-07-31,千葉県,0479-74-7880,None
サンポカフェ北越谷店,2020-07-31,埼玉県,048-940-2499,None
東松山市農林公園 丘の上のカフェ,2020-07-31,埼玉県,0493-39-0150,None
GUNDAM Café TOKYO BRAND CORE,2020-07-30,東京都,03-3251-0078,None
VALLEY PARK STAND,2020-07-30,東京都,03-6712-5442,None
広島アンデルセン（ANDERSEN）,2020-07-30,広島県,082-247-2403,None
シモキタシマイ,2020-07-30,東京都,,None
MAKANAI CAFE,2020-07-29,東京都,070-1519-4763,None
ブレッドボウルカフェふぉこらーれ,2020-07-28,東京都,03-6413-6363,None
ARCOILIS（アルコイリス）,2020-07-28,広島県,,None
レストランμ（ミュー）,2020-07-27,栃木県,0287-78-7833,None
CAFFÈ&BAR PRONTO ムスブ田町店,2020-07-26,東京都,03-3457-3366,None
NEW LIGHT（ニューライト）,2020-07-24,東京都,03-6419-3115,None
#.icafe パワーセンター店,2020-07-23,高知県,050-5597-9148,None
やさい屋カフェ 菜びより,2020-07-22,北海道,070-4795-6334,None
3 tri kitchen,2020-07-22,京都府,075-229-6722,None
笹屋伊織 別邸,2020-07-22,京都府,075-322-8078,None
本町プランテ,2020-07-21,和歌山県,073-425-8583,None
cafe＆space  utakata,2020-07-20,大阪府,050-3698-3707,None
発酵生活発酵カフェ＆バー AMACO CAFE,2020-07-20,京都府,075-746-3123,None
チーズと生はちみつBeNe アスナル金山,2020-07-19,愛知県,052-228-8386,None
シナボン・シアトルズベストコーヒー ゆめタウン広島店,2020-07-18,広島県,082-207-3522,None
和蔵場～wakuraba～,2020-07-18,東京都,03-6459-9565,None
Fields round Ryo,2020-07-18,大阪府,06-7410-0071,None
ide cafe(イデカフェ) 五香駅店,2020-07-16,千葉県,047-711-5000,None
LeBRESSO（レブレッソ）大濠公園前店,2020-07-16,福岡県,092-741-6600,None
512 CAFE＆SWEETS,2020-07-16,大阪府,06-6211-1512,None
cafe cherish (カフェチェリッシュ),2020-07-15,福島県,,None
FUJIMI CAFE,2020-07-15,静岡県,0550-82-3279,None
Cafe Zarame 大曽根 （ザラメ）,2020-07-15,愛知県,052-508-5520,None
レストラン 富士山の頂きます,2020-07-15,静岡県,0550-70-3905,None
TRATTORIA ITSUKI（トラットリア・イツキ）,2020-07-14,東京都,,None
LoTa森田屋,2020-07-14,島根県,0853-27-9653,None
CAFE山と海と太陽 アスティ静岡店,2020-07-14,静岡県,054-205-3411,None
UGUISU 仙台茶寮,2020-07-13,宮城県,022-395-8250,None
44APARTMENT 薬師池店,2020-07-12,東京都,042-860-6956,None
夏祭りCafé＆Bar祇園あら井,2020-07-12,京都府,075-746-4199,None
焚火ダイニング・カフェ ハルランナ,2020-07-12,北海道,0144-84-6545,None
Cozy’s（コージーズ）,2020-07-12,東京都,03-6271-5583,None
with cafe （ウィズカフェ）,2020-07-12,兵庫県,078-251-6003,None
ボイジャースタンド渋谷  VOYAGER STAND SHIBUYA,2020-07-11,東京都,,None
Hawaiian Moanacafe,2020-07-11,香川県,087-843-2103,None
THE PENTHOUSE with weekend terrace,2020-07-11,東京都,03-5859-0341,None
道の駅 四季の郷公園 FOOD HUNTER PARK,2020-07-11,和歌山県,,None
POP/iN（ポップイン）,2020-07-10,北海道,,None
道の駅あらい 農業振興施設 四季彩館みょうこう,2020-07-10,新潟県,0255-70-1021,None
rebon Kaisaiyu レボン快哉湯,2020-07-10,東京都,03-5808-9044,None
カフェ ピルエット,2020-07-10,東京都,,None
IKEBUKURO BOX cafe＆space,2020-07-07,東京都,,None
THE GALLEY SEAFOOD & GRILL,2020-07-07,東京都,,None
フレンチトースト専門店　千年カフェ,2020-07-07,福島県,024-983-4878,None
cafe hitoToki,2020-07-07,愛知県,0561-76-7544,None
2 KOTI,2020-07-06,三重県,0596-43-3489,None
おしゃべりcafeめてみみ,2020-07-05,石川県,076-256-0330,None
dog cafe & bar syrup- シロップ,2020-07-05,北海道,,None
michiru,2020-07-04,東京都,,None
グローバルキュイジーヌ GAZEBO TOKYO,2020-07-04,東京都,03-5358-9662,None
Cafe/Dining LAGUNA,2020-07-03,福岡県,0942-46-7380,None
カフェジェラオカ,2020-07-03,栃木県,,None
ALL DAY CAFE & DINING The Blue Bell,2020-07-03,神奈川県,045-211-4162,None
douce cafe 志布志店,2020-07-02,鹿児島県,,None
L.grow+,2020-07-02,大阪府,072-479-5594,None
キッチン青山,2020-07-02,埼玉県,050-5597-8797,None
ZIZI CAFE KYOTO,2020-07-02,京都府,080-8760-2427,None
おやさいCafe フェリーチェ,2020-07-01,埼玉県,048-487-0252,None
タニタカフェ コレド室町店,2020-07-01,東京都,03-6262-2981,None
オープンカフェ まりんぶるー,2020-07-01,愛知県,0569-68-2131,None
uz （ウズ）,2020-07-01,岡山県,0863-31-1388,None
みんなのカフェ,2020-07-01,三重県,0598-20-9570,None
concept-c （コンセプト・セー）,2020-07-01,北海道,011-640-6955,None
Cafe オムレット 大府allobu店,2020-07-01,愛知県,0562-48-3031,None
古民家カフェ 69,2020-07-01,山形県,090-2886-9938,None
BAYFLOW CAFE AEON LAKE TOWN,2020-07-01,埼玉県,048-930-7230,None
NewsPicks GINZA,2020-06-30,東京都,03-4356-8981,None
星野リゾート バンタカフェ / オールーグリル,2020-06-30,沖縄県,,None
roots(ルーツ)猪苗代,2020-06-29,福島県,0242-23-4331,None
ベシャメルカフェ 阪急西宮ガーデンズ店,2020-06-26,兵庫県,0798-65-8200,None
RAIZIN R番地 OMOTESANDO PARK,2020-06-26,東京都,,None
自由が丘Cafe,2020-06-26,東京都,03-6421-1616,None
カフェ茶色,2020-06-26,東京都,,None
JELLY JELLY CAFE（ジェリージェリーカフェ）渋谷2号店,2020-06-25,東京都,03-6712-6161,None
トップスキーズカフェ 中野マルイ店,2020-06-25,東京都,03-6382-5559,None
LITTLE SPICE THE CAFE ミライ,2020-06-25,東京都,03-5547-4232,None
ガモウパーク,2020-06-24,宮城県,022-290-7855,None
CAFE lx（カフェルクス）ゆめタウン佐賀店,2020-06-23,佐賀県,0952-97-7790,None
ベーカリーレストランサンマルク 有明ガーデン店,2020-06-23,東京都,03-5962-4309,None
麺とカフェ処 悠然かしや,2020-06-23,大阪府,06-6606-8393,None
È PRONTO（エ プロント）ルミネ立川店,2020-06-22,東京都,042-506-1205,None
MASTARSCAFE マスターズカフェ水前寺店,2020-06-21,熊本県,096-384-2001,None
CAFE ACHIM,2020-06-21,東京都,03-6379-8114,None
Nanahuku（ナナフク）,2020-06-21,岡山県,090-1686-7290,None
古民家キッチン るぴなす,2020-06-21,愛知県,052-908-3323,None
FOREST TABLE（フォレスト・テーブル）,2020-06-20,大阪府,06-6225-8639,None
Glorious Chain Café 横浜ベイサイド,2020-06-20,神奈川県,045-367-9750,None
高虎DOG,2020-06-20,三重県,059-230-0109,None
SoleilCafe（ソレイユカフェ）,2020-06-20,三重県,059-226-3114,None
Tanglad Cafe （タンラッドカフェ）,2020-06-20,愛知県,0561-59-4635,None
PASTA CAFE ATORI,2020-06-19,宮崎県,0985-41-9252,None
保護ねこカフェ NEKO FREAK！,2020-06-19,愛知県,,None
soup to BREAD（スープ トゥ ブレッド）,2020-06-19,北海道,,None
こぐまちゃんカフェ,2020-06-19,石川県,,None
Le cadeau （ル・キャド）,2020-06-19,宮城県,022-302-7936,None
タコライスcafe きじむなぁ イーアス沖縄豊崎店,2020-06-19,沖縄県,098-987-0858,None
