Date,Prefecture,ShopName,Phone
2020-09-18,京都府,DELTA / KYOTOGRAPHIE Permanent Space,075-708-7108
2020-09-18,北海道,スカイラウンジ カフェ・ペルラ,0138-84-5432
2020-09-17,愛知県,ESPRESSO D WORKS 名古屋,050-5457-0690
2020-09-16,秋田県,Ocean Cafe Honu,
2020-09-16,熊本県,ニュードライブインUFO,096-288-1275
2020-09-16,愛知県,1Place cafe,0587-22-7710
2020-09-14,愛知県,モンスーンカフェ ららぽーと愛知東郷,0561-56-1352
2020-09-13,愛知県,伊右衛門カフェ ららぽーと愛知東郷店,056156-8230
2020-09-13,岡山県,倉敷の猫犬屋敷 / KURASHIKIどうぶつの森,086-423-0552
2020-09-13,福島県,niko cafe（ニコカフェ）,024-983-0010
2020-09-12,愛知県,ELOISE’s Cafe（エロイーズカフェ）レイヤード久屋大通店,052-211-9292
2020-09-10,大阪府,PANCAKE&books bibliotheque,06-6359-1389
2020-09-10,東京都,Today’s CBD by ONE-INCH,
2020-09-10,東京都,Deli & Cafe Blue Globe Tokyo,03-6450-6777
2020-09-10,埼玉県,マンゴツリーカフェ さいたま西大宮店,048-783-2973
2020-09-09,神奈川県,DEAN & DELUCA カフェ コレットマーレ みなとみらい,045-323-9498
2020-09-09,兵庫県,イルマティーノ,0797-75-2500
2020-09-09,東京都,ebiholic HARAJUKU,03-6427-9205
2020-09-09,岡山県,異空間カフェ T bira,080-6324-0902
2020-09-08,北海道,ヒーリング&カフェ ルアナ,0153-74-9001
2020-09-07,千葉県,ビストロカフェ SANANCHÉ（サナンシェ）,
2020-09-06,静岡県,ELK Fitness and Table 呉服町店（エルクフィットネス&テーブル）,054-291-6844
2020-09-04,大阪府,Aquarium Cafe HIRAKU,06-6943-5991
2020-09-03,兵庫県,自家焙煎コーヒー momo cafe（モモカフェ）　,0791-25-5012
2020-09-03,和歌山県,ココイロカフェ 岩出店 （Cocoiro Cafe）,0736-69-1266
2020-09-02,埼玉県,サンマルクカフェマルイファミリー志木店,048-424-7309
2020-09-02,沖縄県,masacari,080-4178-9333
2020-09-01,静岡県,しーらかんすCafe 沼津港店,055-957-8611
2020-09-01,神奈川県,LUVIT HAYAMA,0468-74-9040
2020-09-01,大阪府,CULTI EARL CAFE （カルティアールカフェ）,06-6214-5780
2020-08-31,長崎県,CHOUCHOU café,0957-52-0462
2020-08-31,京都府,C’est dur 府庁前,090-1407-6969
2020-08-29,愛知県,PEANUTS Cafe 名古屋,052-211-9660
2020-08-29,東京都,TOKYO BOX cafe&space 表参道ヒルズ店,
2020-08-29,京都府,紡 cafe（tsumugi cafe）,075-352-6400
2020-08-29,兵庫県,River Bridge 三宮センタープラザ店,078-515-6075
2020-08-27,神奈川県,ELOISE’s Cafe横浜ハンマーヘッド店,045-225-8344
2020-08-27,埼玉県,J Smile CAFE 所沢パークタウン駅前通り店,042-946-7538
2020-08-26,東京都,STAND by bookandbedtokyo,03-6304-0585
2020-08-25,東京都,青年チキン&カフェ,
2020-08-25,宮城県,PANORA kitchen of the seasons,022-341-8618
2020-08-25,沖縄県,trip cafe okinawa,080-1707-1665
2020-08-24,埼玉県,HORUTA (オルタ),
2020-08-24,,Beringei cafe,058-214-2760
2020-08-22,埼玉県,スマイルキッチン マコーズ Smile Kitchen Macous,048-423-7913
2020-08-20,千葉県,ドトールコーヒーショップEneJet常盤平店,047-311-2602
2020-08-20,茨城県,Ali’s Friend Cafe & Restaurant,0298-93-5695
2020-08-19,大阪府,食べカフェ Pu-a-Pu,06-6180-8859
2020-08-19,長崎県,cafe mohala,
2020-08-18,東京都,ETUDE MONZ CAFE,080-7362-4636
2020-08-18,東京都, カフェラミル アルカキット錦糸町店,03-6658-5560
2020-08-18,東京都,caffe poatto （カフェ ポアット）,
2020-08-17,石川県,四知堂 kanazawa,076-254-5505
2020-08-16,神奈川県,ブック&カフェ HAMARU,045-323-9003
2020-08-15,大阪府,野風、（NOKAZE）,
2020-08-13,愛知県,FARMERS GARDEN Cafe オムレット 大府allobu店,0562-48-3031
2020-08-13,愛知県,FARMERS GARDEN Cafe オムレット イオンモール名古屋茶屋店,052-301-9991
2020-08-13,東京都,cafe sov,042-528-2983
2020-08-12,大阪府,Pour.,06-6459-7775
2020-08-11,東京都,さち福やCAFÉ コモレ四谷,03-6380-6625
2020-08-10,神奈川県,COFFEE AND BEER &9（アンド・ナイン）,045-628-9316
2020-08-09,宮城県,アニメイトカフェグラッテ仙台,022-264-0437
2020-08-07,京都府,器と暮らしの雑貨＋カフェバー mokumoku,
2020-08-07,神奈川県,カフェ ワイルドチキン,
2020-08-07,神奈川県,Cafe & Bar Lotta TSUTAYA BOOKSTORE 弥生台店,045-392-3339
2020-08-07,三重県,ギャラリーカフェ ドゥードゥル,0598-68-9093
2020-08-07,愛知県,Style Kitchen,052-433-2582
2020-08-07,滋賀県,Dongree Books&Story Cafe,0748-69-5923
2020-08-06,東京都,Park Community KIBACO,03-5245-1770
2020-08-06,東京都,141 OUJI TABLE,03-5933-6955
2020-08-06,愛知県,Deli&Cafe TOKINIHA,090-9138-1928
2020-08-05,東京都,TOKYO VIDEO GAMERS,03-5577-5106
2020-08-04,東京都,パンとエスプレッソと まちあわせ,03-6805-0830
2020-08-03,福井県,108 CAFE（トンヤカフェ）,0776-76-8174
2020-08-01,東京都,Dōngxī Restaurant ＆ Sakaba,03-6712-5730
2020-08-01,長崎県,ザ・ロビーラウンジ,0957-22-8686
2020-08-01,大阪府,ROCKS café,06-6536-8619
2020-08-01,京都府,京鴨＆有機野菜 SANTE,075-371-7756
2020-08-01,兵庫県,X-cafe （エックスカフェ）,078-881-1893
2020-08-01,香川県,Seasonal stand（シーズナルスタンド）,0875-82-9920
2020-08-01,北海道,Eni.Et. エニエト,
2020-07-31,千葉県,カフェ&ペンションpollo lepo(ポッロレポ),0479-74-7880
2020-07-31,埼玉県,サンポカフェ北越谷店,048-940-2499
2020-07-31,埼玉県,東松山市農林公園 丘の上のカフェ,0493-39-0150
2020-07-30,東京都,GUNDAM Café TOKYO BRAND CORE,03-3251-0078
2020-07-30,東京都,VALLEY PARK STAND,03-6712-5442
2020-07-30,広島県,広島アンデルセン（ANDERSEN）,082-247-2403
2020-07-30,東京都,シモキタシマイ,
2020-07-29,東京都,MAKANAI CAFE,070-1519-4763
2020-07-28,東京都,ブレッドボウルカフェふぉこらーれ,03-6413-6363
2020-07-28,広島県,ARCOILIS（アルコイリス）,
2020-07-27,栃木県,レストランμ（ミュー）,0287-78-7833
2020-07-26,東京都,CAFFÈ&BAR PRONTO ムスブ田町店,03-3457-3366
2020-07-24,東京都,NEW LIGHT（ニューライト）,03-6419-3115
2020-07-23,高知県,#.icafe パワーセンター店,050-5597-9148
2020-07-22,北海道,やさい屋カフェ 菜びより,070-4795-6334
2020-07-22,京都府,3 tri kitchen,075-229-6722
2020-07-22,京都府,笹屋伊織 別邸,075-322-8078
2020-07-21,和歌山県,本町プランテ,073-425-8583
2020-07-20,大阪府,cafe＆space  utakata,050-3698-3707
2020-07-20,京都府,発酵生活発酵カフェ＆バー AMACO CAFE,075-746-3123
2020-07-19,愛知県,チーズと生はちみつBeNe アスナル金山,052-228-8386
2020-07-18,広島県,シナボン・シアトルズベストコーヒー ゆめタウン広島店,082-207-3522
2020-07-18,東京都,和蔵場～wakuraba～,03-6459-9565
2020-07-18,大阪府,Fields round Ryo,06-7410-0071
2020-07-16,千葉県,ide cafe(イデカフェ) 五香駅店,047-711-5000
2020-07-16,福岡県,LeBRESSO（レブレッソ）大濠公園前店,092-741-6600
2020-07-16,大阪府,512 CAFE＆SWEETS,06-6211-1512
2020-07-15,福島県,cafe cherish (カフェチェリッシュ),
2020-07-15,静岡県,FUJIMI CAFE,0550-82-3279
2020-07-15,愛知県,Cafe Zarame 大曽根 （ザラメ）,052-508-5520
2020-07-15,静岡県,レストラン 富士山の頂きます,0550-70-3905
2020-07-14,東京都,TRATTORIA ITSUKI（トラットリア・イツキ）,
2020-07-14,島根県,LoTa森田屋,0853-27-9653
2020-07-14,静岡県,CAFE山と海と太陽 アスティ静岡店,054-205-3411
2020-07-13,宮城県,UGUISU 仙台茶寮,022-395-8250
2020-07-12,東京都,44APARTMENT 薬師池店,042-860-6956
2020-07-12,京都府,夏祭りCafé＆Bar祇園あら井,075-746-4199
2020-07-12,北海道,焚火ダイニング・カフェ ハルランナ,0144-84-6545
2020-07-12,東京都,Cozy’s（コージーズ）,03-6271-5583
2020-07-12,兵庫県,with cafe （ウィズカフェ）,078-251-6003
2020-07-11,東京都,ボイジャースタンド渋谷  VOYAGER STAND SHIBUYA,
2020-07-11,香川県,Hawaiian Moanacafe,087-843-2103
2020-07-11,東京都,THE PENTHOUSE with weekend terrace,03-5859-0341
2020-07-11,和歌山県,道の駅 四季の郷公園 FOOD HUNTER PARK,
2020-07-10,北海道,POP/iN（ポップイン）,
2020-07-10,新潟県,道の駅あらい 農業振興施設 四季彩館みょうこう,0255-70-1021
2020-07-10,東京都,rebon Kaisaiyu レボン快哉湯,03-5808-9044
2020-07-10,東京都,カフェ ピルエット,
2020-07-07,東京都,IKEBUKURO BOX cafe＆space,
2020-07-07,東京都,THE GALLEY SEAFOOD & GRILL,
2020-07-07,福島県,フレンチトースト専門店　千年カフェ,024-983-4878
2020-07-07,愛知県,cafe hitoToki,0561-76-7544
2020-07-06,三重県,2 KOTI,0596-43-3489
2020-07-05,石川県,おしゃべりcafeめてみみ,076-256-0330
2020-07-05,北海道,dog cafe & bar syrup- シロップ,
2020-07-04,東京都,michiru,
2020-07-04,東京都,グローバルキュイジーヌ GAZEBO TOKYO,03-5358-9662
2020-07-03,福岡県,Cafe/Dining LAGUNA,0942-46-7380
2020-07-03,栃木県,カフェジェラオカ,
2020-07-03,神奈川県,ALL DAY CAFE & DINING The Blue Bell,045-211-4162
2020-07-02,鹿児島県,douce cafe 志布志店,
2020-07-02,大阪府,L.grow+,072-479-5594
2020-07-02,埼玉県,キッチン青山,050-5597-8797
2020-07-02,京都府,ZIZI CAFE KYOTO,080-8760-2427
2020-07-01,埼玉県,おやさいCafe フェリーチェ,048-487-0252
2020-07-01,東京都,タニタカフェ コレド室町店,03-6262-2981
2020-07-01,愛知県,オープンカフェ まりんぶるー,0569-68-2131
2020-07-01,岡山県,uz （ウズ）,0863-31-1388
2020-07-01,三重県,みんなのカフェ,0598-20-9570
2020-07-01,北海道,concept-c （コンセプト・セー）,011-640-6955
2020-07-01,愛知県,Cafe オムレット 大府allobu店,0562-48-3031
2020-07-01,山形県,古民家カフェ 69,090-2886-9938
2020-07-01,埼玉県,BAYFLOW CAFE AEON LAKE TOWN,048-930-7230
2020-06-30,東京都,NewsPicks GINZA,03-4356-8981
2020-06-30,沖縄県,星野リゾート バンタカフェ / オールーグリル,
2020-06-29,福島県,roots(ルーツ)猪苗代,0242-23-4331
2020-06-26,兵庫県,ベシャメルカフェ 阪急西宮ガーデンズ店,0798-65-8200
2020-06-26,東京都,RAIZIN R番地 OMOTESANDO PARK,
2020-06-26,東京都,自由が丘Cafe,03-6421-1616
2020-06-26,東京都,カフェ茶色,
2020-06-25,東京都,JELLY JELLY CAFE（ジェリージェリーカフェ）渋谷2号店,03-6712-6161
2020-06-25,東京都,トップスキーズカフェ 中野マルイ店,03-6382-5559
2020-06-25,東京都,LITTLE SPICE THE CAFE ミライ,03-5547-4232
2020-06-24,宮城県,ガモウパーク,022-290-7855
2020-06-23,佐賀県,CAFE lx（カフェルクス）ゆめタウン佐賀店,0952-97-7790
2020-06-23,東京都,ベーカリーレストランサンマルク 有明ガーデン店,03-5962-4309
2020-06-23,大阪府,麺とカフェ処 悠然かしや,06-6606-8393
2020-06-22,東京都,È PRONTO（エ プロント）ルミネ立川店,042-506-1205
2020-06-21,熊本県,MASTARSCAFE マスターズカフェ水前寺店,096-384-2001
2020-06-21,東京都,CAFE ACHIM,03-6379-8114
2020-06-21,岡山県,Nanahuku（ナナフク）,090-1686-7290
2020-06-21,愛知県,古民家キッチン るぴなす,052-908-3323
2020-06-20,大阪府,FOREST TABLE（フォレスト・テーブル）,06-6225-8639
2020-06-20,神奈川県,Glorious Chain Café 横浜ベイサイド,045-367-9750
2020-06-20,三重県,高虎DOG,059-230-0109
2020-06-20,三重県,SoleilCafe（ソレイユカフェ）,059-226-3114
2020-06-20,愛知県,Tanglad Cafe （タンラッドカフェ）,0561-59-4635
2020-06-19,宮崎県,PASTA CAFE ATORI,0985-41-9252
2020-06-19,愛知県,保護ねこカフェ NEKO FREAK！,
2020-06-19,北海道,soup to BREAD（スープ トゥ ブレッド）,
2020-06-19,石川県,こぐまちゃんカフェ,
2020-06-19,宮城県,Le cadeau （ル・キャド）,022-302-7936
2020-06-19,沖縄県,タコライスcafe きじむなぁ イーアス沖縄豊崎店,098-987-0858
2020-06-18,東京都,LAND_A,03-5637-0107
2020-06-17,広島県,やせうまだんご汁とおやつ 日日花,082-836-3610
2020-06-17,静岡県,Bakery & Table Sweets 伊豆,0557-22-5151
2020-06-17,大阪府,Urth Caffé （アースカフェ）なんばパークス店,06-4394-7639
2020-06-16,茨城県,食ぱん道カフェ 土浦店,029-826-8023
2020-06-16,愛知県,食ぱん道カフェ 一宮店,050-5372-3965
2020-06-16,兵庫県,Hong Kong Hot Pot Cafe 甜蜜蜜(ティムマッマッ),078-392-6363
2020-06-16,愛知県,Cafe de lis blanc（カフェ ド リ ブラン）,0561-59-7770
2020-06-14,東京都,PRONTO Otemachi One店,03-3215-2610
2020-06-14,東京都,DECOTTO by animate cafe,03-5950-7227
2020-06-14,神奈川県,BinO CAFE ando BAKERY ZIN,0467-88-0089
2020-06-13,奈川県,DEAN & DELUCA シァル横浜,045-534-5605
2020-06-13,東京都,アニメイトカフェ池袋4号店,03-6709-3781
2020-06-12,東京都,wazze cafe（ワッゼカフェ）,050-3503-4097
2020-06-12,愛知県,だから、今日がよかったと思える。,052-265-6230
2020-06-10,東京都,池袋上さま（上さま池袋店）,03-6709-0963
2020-06-09,福島県,エキゾチックアニマルカフェRicky福島店,024-503-9646
2020-06-08,新潟県,ベビーフェイスプラネッツ長岡川崎店,0258-84-7733
2020-06-06,宮城県,Kitchenにしきや岩沼店,0223-36-9115
2020-06-06,神奈川県,ロゴスショップ&カフェ 三井アウトレットパーク 横浜ベイサイド店,045-370-8456
2020-06-06,岐阜県,Honey Cafe Meets（ハニーカフェ ミーツ）,058-213-8558
2020-06-06,北海道,高級食パン専門店 嵜本ベーカリーカフェ 大丸札幌店,011-215-1406
2020-06-06,秋田県,ごはんや Hygge,080-3322-1596
2020-06-05,山形県,0035 BY KIYOKAWAYA,023-676-8111
2020-06-05,神奈川県,Asobiba Nogawa cafe部,090-4910-5080
2020-06-05,宮崎県,中町フードホール,0986-36-5256
2020-06-04,東京都,スカイファイトカフェ銀座,03-5579-9066
2020-06-04,大阪府,IGNITE(イグナイト),06-6347-1880
2020-06-04,新潟県,CAFE HAYASHI カフェ ハヤシ,025-532-2602
2020-06-04,東京都,RITUEL CAFE ルミネ新宿店,03-6258-1336
2020-06-04,東京都,HEAVENLY Island Lifestyle 代官山,03-6416-9385
2020-06-03,広島県,Coffe＆Restaurant sasa garden,082-435-3800
2020-06-03,東京都,西荻J45,03-6755-5388
2020-06-02,東京都,SANRIO CAFE 池袋店,03-5985-5600
2020-06-02,福岡県,coperta(コぺルタ）,092-406-3649
2020-06-02,東京都,資生堂パーラー ザ・ハラジュク,03-3475-1021
2020-06-02,兵庫県,KITANO CLUB ANNEX,
2020-06-02,埼玉県,おやさいダイニングRestaurant MORINIWA,049-292-7889
2020-06-01,大阪府,ちょい呑み×CAFE 幸右衛門 （ゆきえもん）,06-6583-8518
2020-06-01,愛知県,cafe&bar DAWN（カフェ&バー ドーン）,
2020-06-01,東京都,カフェ アルバトロス,03-5749-3422
2020-06-01,千葉県,万里庵キッチン,070-5549-4269
2020-05-31,茨城県,FLYER筑波大学前店,
2020-05-31,青森県,窯焼きパンケーキ＆Cafe Piyo,0172-33-2100
2020-05-30,東京都,RITUEL CAFÉ,03-6258-1336
2020-05-30,東京都,CÉ LA VI SKY MUSIC TERRACE,0800
2020-05-30,秋田県,ハングリーベア,070-1519-3491
2020-05-28,愛媛県,Cafe Shozan,0897-72-8915
2020-05-25,東京都,PEACE TABLE 渋谷 道玄坂店,050-7542-4768
2020-05-23,大阪府,ブーランジェリー＆カフェ  サニーサイド  みのおキューズモール店,072-727-7000
2020-05-22,大阪府,カフェキッチン ローズガーデン 倉治店,072-895-6666
2020-05-21,北海道,ベイクカフェ らふ,
2020-05-21,大阪府,Kokoflat cafe 本町,06-6567-9730
2020-05-15,群馬県,FOOD BOAT Cafe イオンモール高崎店,027-386-8038
2020-05-15,群馬県,Kauai Diner イオンモール高崎店,027-381-5172
2020-05-13,兵庫県,cafe dining Rasiku,090-3720-5135
2020-05-12,東京都,Social distanceing CAFE TOKYO,
2020-05-12,東京都,カフェレストラン COCO,03-5848-6595
2020-05-08,鳥取県,和佳 （ノドカ）,0858-75-3017
2020-05-08,岡山県,べじかふぇ*まなおり,086-274-0831
